ID, Door_State, People_Count, Posture_State, Interface_State, State
39, 1, 0, 0, 3, 当前大门是打开的，舱内无人，患者姿势没有标准，联影屏幕状态为预备定位片扫描界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
41, 1, 0, 0, 5, 当前大门是打开的，舱内无人，患者姿势没有标准，联影屏幕状态为预备正片扫描的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
42, 1, 0, 0, 6, 当前大门是打开的，舱内无人，患者姿势没有标准，联影屏幕状态为预备扫描床归位的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
43, 1, 0, 1, 1, 当前大门是打开的，舱内无人，患者姿势已经标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
44, 1, 0, 1, 2, 当前大门是打开的，舱内无人，患者姿势已经标准，联影屏幕状态为输入进床深度和下界的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
45, 1, 0, 1, 3, 当前大门是打开的，舱内无人，患者姿势已经标准，联影屏幕状态为预备定位片扫描界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
46, 1, 0, 1, 4, 当前大门是打开的，舱内无人，患者姿势已经标准，联影屏幕状态为调整定位片范围的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
47, 1, 0, 1, 5, 当前大门是打开的，舱内无人，患者姿势已经标准，联影屏幕状态为预备正片扫描的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
48, 1, 0, 1, 6, 当前大门是打开的，舱内无人，患者姿势已经标准，联影屏幕状态为预备扫描床归位的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
49, 1, 1, 0, 1, 当前大门是打开的，舱内有1个人，患者姿势没有标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
50, 1, 1, 0, 2, 当前大门是打开的，舱内有1个人，患者姿势没有标准，联影屏幕状态为输入进床深度和下界的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
51, 1, 1, 0, 3, 当前大门是打开的，舱内有1个人，患者姿势没有标准，联影屏幕状态为预备定位片扫描界面。接下来准备进行定位片扫描，请planer指挥operator调用定位片扫描接口。
52, 1, 1, 0, 4, 当前大门是打开的，舱内有1个人，患者姿势没有标准，联影屏幕状态为调整定位片范围的界面。接下来准备调整定位片范围，请planer指挥operator调用调整定位片范围接口。
53, 1, 1, 0, 5, 当前大门是打开的，舱内有1个人，患者姿势没有标准，联影屏幕状态为预备正片扫描的界面。接下来准备进行正片扫描，请planer指挥operator调用正片扫描接口。
54, 1, 1, 0, 6, 当前大门是打开的，舱内有1个人，患者姿势没有标准，联影屏幕状态为预备扫描床归位的界面。接下来准备进行扫描床归位，请planer指挥operator调用扫描床归位接口。
55, 1, 1, 1, 1, 当前大门是打开的，舱内有1个人，患者姿势已经标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
56, 1, 1, 1, 2, 当前大门是打开的，舱内有1个人，患者姿势已经标准，联影屏幕状态为输入进床深度和下界的界面。接下来关闭舱门，请planer指挥operator调用关闭舱门接口。
57, 1, 1, 1, 3, 当前大门是打开的，舱内有1个人，患者姿势已经标准，联影屏幕状态为预备定位片扫描界面。接下来准备进行定位片扫描，请planer指挥operator调用定位片扫描接口。
58, 1, 1, 1, 4, 当前大门是打开的，舱内有1个人，患者姿势已经标准，联影屏幕状态为调整定位片范围的界面。接下来准备调整定位片范围，请planer指挥operator调用调整定位片范围接口。
59, 1, 1, 1, 5, 当前大门是打开的，舱内有1个人，患者姿势已经标准，联影屏幕状态为预备正片扫描的界面。接下来准备进行正片扫描，请planer指挥operator调用正片扫描接口。
60, 1, 1, 1, 6, 当前大门是打开的，舱内有1个人，患者姿势已经标准，联影屏幕状态为预备扫描床归位的界面。接下来准备进行扫描床归位，请planer指挥程文档指挥operator。
40, 1, 0, 0, 4, 当前大门是打开的，舱内无人，患者姿势没有标准，联影屏幕状态为调整定位片范围的界面。请planer忽略这条状态更新，继续依照operator调用扫描床归位接口。
61, 1, 2, 0, 1, 当前大门是打开的，舱内有多个人，患者姿势没有标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
62, 1, 2, 0, 2, 当前大门是打开的，舱内有多个人，患者姿势没有标准，联影屏幕状态为输入进床深度和下界的界面。接下来指导患者调整姿势，请planer指挥operator调用请您双手抱头接口。
63, 1, 2, 0, 3, 当前大门是打开的，舱内有多个人，患者姿势没有标准，联影屏幕状态为预备定位片扫描界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
64, 1, 2, 0, 4, 当前大门是打开的，舱内有多个人，患者姿势没有标准，联影屏幕状态为调整定位片范围的界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
65, 1, 2, 0, 5, 当前大门是打开的，舱内有多个人，患者姿势没有标准，联影屏幕状态为预备正片扫描的界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
66, 1, 2, 0, 6, 当前大门是打开的，舱内有多个人，患者姿势没有标准，联影屏幕状态为预备扫描床归位的界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
67, 1, 2, 1, 1, 当前大门是打开的，舱内有多个人，患者姿势已经标准，联影屏幕状态为患者信息输入界面。接下来输入患者检查项目，请planer指挥operator调用输入患者检查项目接口。
68, 1, 2, 1, 2, 当前大门是打开的，舱内有多个人，患者姿势已经标准，联影屏幕状态为输入进床深度和下界的界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
69, 1, 2, 1, 3, 当前大门是打开的，舱内有多个人，患者姿势已经标准，联影屏幕状态为预备定位片扫描界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
70, 1, 2, 1, 4, 当前大门是打开的，舱内有多个人，患者姿势已经标准，联影屏幕状态为调整定位片范围的界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
71, 1, 2, 1, 5, 当前大门是打开的，舱内有多个人，患者姿势已经标准，联影屏幕状态为预备正片扫描的界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
72, 1, 2, 1, 6, 当前大门是打开的，舱内有多个人，患者姿势已经标准，联影屏幕状态为预备扫描床归位的界面。接下来播报家属出去等，请planer指挥operator调用请家属出去等接口。
